#  gamma_0, K, T, phi, ecc, omega, sigma_0, 
# 
4.790890000000000271e+01 8.526080000000000325e+01 9.843120000000000118e+02 2.582339999999999858e+00 6.954559999999999631e-01 3.697470000000000034e+00 5.458950000000000102e+01
3.967020000000000124e+01 8.259650000000000603e+01 9.866680000000000064e+02 2.327770000000000117e+00 5.005180000000000184e-01 3.466549999999999798e+00 5.360560000000000258e+01
4.574360000000000070e+01 9.037359999999999616e+01 5.124089999999999918e+02 1.035260000000000069e+00 5.539789999999999992e-01 1.798610000000000042e+00 5.292410000000000281e+01
5.074139999999999873e+01 9.448309999999999320e+01 9.943029999999999973e+02 3.374779999999999891e+00 6.597290000000000099e-01 2.932869999999999866e+00 5.761119999999999663e+01
5.074139999999999873e+01 9.448309999999999320e+01 9.943029999999999973e+02 3.374779999999999891e+00 6.597290000000000099e-01 2.932869999999999866e+00 5.761119999999999663e+01
4.541259999999999764e+01 7.884449999999999648e+01 5.259059999999999491e+02 5.651760000000000339e+00 1.559439999999999993e-01 2.944010000000000016e+00 5.498689999999999856e+01
5.268650000000000233e+01 5.266380000000000194e+01 4.954089999999999918e+02 5.087620000000000253e+00 3.381709999999999994e-01 2.215430000000000010e+00 6.111460000000000292e+01
5.074139999999999873e+01 9.448309999999999320e+01 9.943029999999999973e+02 3.374779999999999891e+00 6.597290000000000099e-01 2.932869999999999866e+00 5.761119999999999663e+01
4.118469999999999942e+01 5.408689999999999998e+01 4.842200000000000273e+02 4.441649999999999765e-01 4.492999999999999772e-02 4.217170000000000307e+00 5.563069999999999737e+01
3.909150000000000347e+01 7.959879999999999711e+01 5.103990000000000009e+02 1.451089999999999991e+00 2.655339999999999923e-01 2.317450000000000010e+00 5.909859999999999758e+01
4.180890000000000128e+01 8.185609999999999786e+01 5.059889999999999759e+02 6.044170000000000265e+00 4.517849999999999921e-01 4.886199999999999655e+00 6.917839999999999634e+01
4.617190000000000083e+01 7.985899999999999466e+01 9.937630000000000337e+02 1.087839999999999918e+00 3.949940000000000118e-01 3.136239999999999917e+00 5.987429999999999808e+01
4.936679999999999779e+01 9.160399999999999920e+01 9.290960000000000036e+02 1.507039999999999935e+00 6.845139999999999558e-01 3.882080000000000197e+00 5.104359999999999786e+01
4.187610000000000099e+01 6.757640000000000668e+01 9.801290000000000191e+02 5.177559999999999718e+00 4.641129999999999978e-01 3.439309999999999867e+00 5.953640000000000043e+01
4.734459999999999980e+01 4.947209999999999752e+01 9.335579999999999927e+02 5.110829999999999984e+00 2.539310000000000178e-01 4.422240000000000393e+00 5.321509999999999962e+01
4.056810000000000116e+01 8.467879999999999541e+01 9.913949999999999818e+02 9.347569999999999490e-01 4.545480000000000076e-01 3.727700000000000014e+00 5.831400000000000006e+01
4.713949999999999818e+01 5.657269999999999754e+01 9.744080000000000155e+02 6.718889999999999585e-01 4.269330000000000069e-01 3.509170000000000122e+00 6.259969999999999857e+01
3.914309999999999690e+01 7.417489999999999384e+01 9.926699999999999591e+02 2.558879999999999821e+00 2.689810000000000256e-01 3.697159999999999780e+00 5.384400000000000119e+01
3.069059999999999988e+01 9.891320000000000334e+01 9.820510000000000446e+02 3.331430000000000113e+00 5.493240000000000345e-01 4.100270000000000081e+00 6.450799999999999557e+01
3.909150000000000347e+01 7.959879999999999711e+01 5.103990000000000009e+02 1.451089999999999991e+00 2.655339999999999923e-01 2.317450000000000010e+00 5.909859999999999758e+01
5.331869999999999976e+01 6.877129999999999654e+01 9.939489999999999554e+02 4.088049999999999962e+00 3.126099999999999990e-01 3.260590000000000099e+00 5.258769999999999811e+01
3.621959999999999980e+01 7.317510000000000048e+01 9.363790000000000191e+02 5.593890000000000029e+00 4.397820000000000062e-01 2.998310000000000031e+00 4.953150000000000119e+01
4.320369999999999777e+01 7.929630000000000223e+01 9.232580000000000382e+02 3.784120000000000150e+00 2.837749999999999995e-01 3.229659999999999975e+00 5.431759999999999877e+01
4.873230000000000217e+01 8.923269999999999413e+01 9.425049999999999955e+02 5.316679999999999851e+00 3.547500000000000098e-01 3.729190000000000005e+00 4.957019999999999982e+01
5.278399999999999892e+01 8.831419999999999959e+01 5.110889999999999986e+02 5.051750000000000185e+00 6.731740000000000501e-01 1.598209999999999908e+00 5.526740000000000208e+01
4.119850000000000279e+01 9.909600000000000364e+01 9.564750000000000227e+02 5.189040000000000319e+00 6.482780000000000209e-01 3.896199999999999886e+00 5.945360000000000156e+01
3.914309999999999690e+01 7.417489999999999384e+01 9.926699999999999591e+02 2.558879999999999821e+00 2.689810000000000256e-01 3.697159999999999780e+00 5.384400000000000119e+01
5.701870000000000260e+01 5.644380000000000308e+01 9.239339999999999691e+02 2.383809999999999985e+00 3.273119999999999918e-01 4.468169999999999753e+00 6.908230000000000359e+01
4.552179999999999893e+01 8.979600000000000648e+01 9.989479999999999791e+02 5.601790000000000269e+00 5.408039999999999514e-01 3.674900000000000055e+00 5.789759999999999707e+01
3.741629999999999967e+01 9.164329999999999643e+01 9.568179999999999836e+02 4.502849999999999575e+00 5.115070000000000450e-01 3.586110000000000131e+00 6.232189999999999941e+01
4.948749999999999716e+01 6.915519999999999357e+01 5.276369999999999436e+02 2.138869999999999827e+00 2.973649999999999904e-01 2.078079999999999927e+00 5.571189999999999998e+01
4.093310000000000315e+01 8.499890000000000612e+01 9.908060000000000400e+02 5.366590000000000416e+00 3.761780000000000124e-01 3.107639999999999958e+00 5.860499999999999687e+01
4.713949999999999818e+01 5.657269999999999754e+01 9.744080000000000155e+02 6.718889999999999585e-01 4.269330000000000069e-01 3.509170000000000122e+00 6.259969999999999857e+01
